source;target;pre_link;post_link
44476;44475;0;1
83777;44476;1;1
44487;44476;1;0
44478;44476;1;0
75725;44476;0;1
44482;44476;1;1
44475;44476;0;1
44498;44476;1;0
10531;44476;1;0
54911;44476;0;1
10523;44477;1;1
56680;44477;0;1
44479;44477;1;1
10528;44477;1;1
85923;44477;0;1
44368;44477;0;1
83741;44477;0;1
10387;44477;0;1
44483;44478;1;0
64182;44478;1;1
44487;44478;1;0
44476;44478;1;0
10524;44478;1;0
10528;44479;0;1
44477;44479;1;1
10529;44479;1;1
56680;44479;0;1
44500;44479;1;1
10523;44479;0;1
44384;44479;0;1
44382;44479;0;1
77861;44480;0;1
75139;44480;1;1
44488;44480;1;1
44356;44481;1;1
44495;44481;1;0
10375;44481;0;1
10524;44482;1;1
44476;44482;1;1
83777;44482;1;1
77374;44482;0;1
75725;44482;0;1
44487;44482;0;1
44475;44482;0;1
10524;44483;1;1
44478;44483;1;0
44487;44483;1;1
83777;44483;0;1
75725;44483;0;1
44490;44483;1;0
44475;44483;0;1
44495;44483;1;0
40776;44484;0;1
44489;44484;1;0
44499;44484;1;1
44396;44484;0;1
40769;44484;0;1
44485;44484;1;0
40772;44484;0;1
44484;44485;1;0
44489;44485;1;0
44499;44485;1;0
10524;44487;1;1
44483;44487;1;1
83777;44487;0;1
44478;44487;1;0
44490;44487;1;0
75725;44487;0;1
10531;44487;1;0
44475;44487;0;1
44495;44487;1;0
44482;44487;0;1
44476;44487;1;0
44480;44488;1;1
75139;44488;1;1
77861;44488;0;1
44495;44488;1;0
44490;44488;1;0
44484;44489;1;0
44485;44489;1;0
44499;44489;1;0
44495;44490;1;1
44488;44490;1;0
44487;44490;1;0
44483;44490;1;0
10524;44490;1;0
76817;44490;0;1
54852;44490;1;1
44494;44490;1;0
44475;44493;1;0
44490;44494;1;0
77861;44494;0;1
75139;44494;1;1
44495;44494;1;0
10366;44495;0;1
44490;44495;1;1
44494;44495;1;0
40747;44495;0;1
10369;44495;0;1
54852;44495;1;1
44487;44495;1;0
10524;44495;1;0
40767;44495;0;1
76817;44495;0;1
44488;44495;1;0
44483;44495;1;0
44481;44495;1;0
10523;44495;0;1
44369;44495;0;1
40773;44495;0;1
40771;44495;0;1
44357;44495;0;1
44476;44498;1;0
44396;44499;0;1
44484;44499;1;1
44489;44499;1;0
40769;44499;0;1
40776;44499;0;1
44485;44499;1;0
40772;44499;0;1
44479;44500;1;1
44368;44500;1;1
10523;44500;1;1
56680;44500;0;1
44387;44500;1;0
10387;44500;1;1
10528;44500;1;1
83741;44500;0;1
85923;44500;0;1
8998;53574;1;1
40760;53574;1;0
8999;53574;1;1
40762;53574;1;1
40755;53574;1;0
44490;54852;1;1
44495;54852;1;1
69138;54852;0;1
60620;54852;0;1
59872;54852;0;1
10369;54852;1;1
76817;54852;0;1
10366;54852;1;1
10523;54852;0;1
44369;54852;0;1
44476;54911;0;1
10531;54911;0;1
79401;55104;0;1
44395;55133;0;1
44358;55133;1;1
82258;55133;0;1
44397;55133;1;1
44361;55133;0;1
85923;55133;0;1
44360;55133;1;1
44364;55133;0;1
44368;55133;0;1
10387;55133;0;1
44392;55133;0;1
8963;56347;1;1
40544;56347;1;0
40541;56347;1;1
40561;56347;1;0
40548;56347;1;1
65300;56347;0;1
40769;56347;1;0
8970;56347;0;1
44479;56680;0;1
83741;56680;0;1
44500;56680;0;1
10529;56680;0;1
10523;56680;0;1
10528;56680;0;1
44477;56680;0;1
10364;57045;0;1
63485;57045;0;1
10375;59247;1;1
44346;59247;0;1
81128;59247;0;1
10376;59247;1;0
44333;59872;0;1
10366;59872;0;1
54852;59872;0;1
60620;59872;0;1
69138;59872;0;1
40552;60340;1;1
65300;60340;1;1
44382;60620;1;1
10370;60620;0;1
44370;60620;1;1
44384;60620;1;1
59872;60620;0;1
54852;60620;0;1
10377;60620;0;1
10366;60620;0;1
69138;60620;0;1
44391;60620;0;1
44393;60620;1;0
57045;63485;0;1
44478;64182;1;1
44475;64302;1;0
40558;64302;1;1
40556;64302;1;1
10527;64302;1;1
8971;64302;1;1
78200;64302;0;1
10526;64302;1;1
77939;64302;0;1
75725;64302;1;0
40548;65300;0;1
8963;65300;0;1
40552;65300;1;1
56347;65300;0;1
60340;65300;1;1
8970;65300;0;1
40541;65300;0;1
98546;65954;0;1
77912;65954;0;1
10360;65954;0;1
44392;67546;1;0
69138;67546;0;1
44394;67546;0;1
44369;67546;0;1
44366;67546;0;1
78160;67546;0;1
44357;67546;0;1
44343;68046;1;0
44351;68046;1;1
10369;69138;0;1
10385;69138;0;1
44369;69138;0;1
44385;69138;1;1
44361;69138;0;1
44377;69138;1;0
10366;69138;0;1
44381;69138;1;0
44383;69138;0;1
67546;69138;0;1
44370;69138;1;0
44371;69138;0;1
59872;69138;0;1
54852;69138;0;1
60620;69138;0;1
44383;70376;1;1
44392;70376;1;1
44381;70376;1;0
71225;70376;1;0
10387;70376;1;0
40744;70376;0;1
10380;70376;0;1
44396;70376;1;0
44376;70376;1;1
44393;70376;1;0
44394;70376;1;0
40736;70376;0;1
10386;70376;0;1
44395;70376;0;1
10383;71225;1;1
10387;71225;1;1
44392;71225;1;0
44379;71225;1;0
44376;71225;1;0
44359;71225;1;0
10382;71225;1;0
70376;71225;1;0
44396;71225;1;1
40546;71439;1;1
40559;71439;1;1
40541;71439;1;0
8963;71439;1;1
44344;73086;1;0
44343;73086;0;1
44353;73086;0;1
10361;73086;1;0
40547;74221;1;1
40543;74221;1;1
8968;74221;1;1
44494;75139;1;1
44488;75139;1;1
77861;75139;0;1
44480;75139;1;1
10524;75139;0;1
10526;75725;1;0
44475;75725;1;1
44482;75725;0;1
44487;75725;0;1
10524;75725;0;1
10527;75725;1;0
44476;75725;0;1
